Kelvin,Celcius,Density,Elastic Modulus,Poisson Ratio,Yield Strength,Ultimate Tensile Strength,CTE,Thermal Conductivity,Specific Heat,Electrical Resistivity
873.16,600,3.94E-06,363363.2633,0.236888044,,184.825281,7.66E-06,0.009392522,1194.759777,
893.16,620,3.94E-06,362317.1668,0.237165099,,183.3669559,7.70E-06,0.009139903,1199.207554,
913.16,640,3.93E-06,361268.4436,0.237440174,,181.7785148,7.73E-06,0.008907352,1203.514779,
933.16,660,3.93E-06,360217.0937,0.237713269,,180.0527023,7.77E-06,0.008693254,1207.687676,
953.16,680,3.93E-06,359163.117,0.237984383,,178.1822626,7.80E-06,0.008496063,1211.732321,
973.16,700,3.93E-06,358106.5136,0.238253517,,176.15994,7.84E-06,0.0083143,1215.654641,
993.16,720,3.92E-06,357047.2835,0.238520671,,173.978479,7.87E-06,0.008146555,1219.460416,
1013.16,740,3.92E-06,355985.4266,0.238785844,,171.6306237,7.90E-06,0.007991485,1223.155279,
1033.16,760,3.92E-06,354920.943,0.239049037,,169.1091187,7.94E-06,0.007847818,1226.744713,
1053.16,780,3.92E-06,353853.8327,0.23931025,,166.4067081,7.97E-06,0.007714348,1230.234055,
1073.16,800,3.92E-06,352784.0956,0.239569483,,163.4600695,8.00E-06,0.007589938,1233.628494,
1093.16,820,3.91E-06,351711.7318,0.239826735,,154.1726554,8.03E-06,0.007473521,1236.933069,
1113.16,840,3.91E-06,350636.7413,0.240082007,,146.4703665,8.07E-06,0.007364095,1240.152674,
1133.16,860,3.91E-06,349559.1241,0.240335299,,140.3982802,8.10E-06,0.007260729,1243.292054,
1153.16,880,3.91E-06,348478.8801,0.24058661,,135.9127246,8.13E-06,0.007162559,1246.355805,
1173.16,900,3.91E-06,347396.0093,0.240835941,,132.8812784,8.16E-06,0.00706879,1249.348378,
1193.16,920,3.90E-06,346310.5119,0.241083292,,131.0827708,8.19E-06,0.006978695,1252.274072,
1213.16,940,3.90E-06,345222.3877,0.241328662,,130.2072816,8.22E-06,0.006891616,1255.137042,
1233.16,960,3.90E-06,344131.6368,0.241572053,,129.8561411,8.25E-06,0.006806963,1257.941294,
1253.16,980,3.90E-06,343038.2591,0.241813463,,129.5419302,8.28E-06,0.006724213,1260.690684,
1273.16,1000,3.89E-06,341942.2547,0.242052892,,128.6884805,8.31E-06,0.006642913,1263.388923,
1293.16,1020,3.89E-06,340843.6236,0.242290342,,126.630874,8.34E-06,0.006562678,1266.039573,
1313.16,1040,3.89E-06,339742.3657,0.242525811,,122.6154434,8.37E-06,0.00648319,1268.646048,
1333.16,1060,3.89E-06,338638.4811,0.242759299,,115.7997719,8.39E-06,0.006404202,1271.211614,
1353.16,1080,3.88E-06,337531.9698,0.242990808,,105.2526933,8.42E-06,0.006325533,1273.739391,
1373.16,1100,3.88E-06,336422.8318,0.243220336,,,8.45E-06,0.00624707,1276.232347,
1393.16,1120,3.88E-06,335311.067,0.243447884,,,8.48E-06,0.006168771,1278.693307,
1413.16,1140,3.88E-06,329899.1782,,,,8.51E-06,0.006090661,1281.124944,
1433.16,1160,3.88E-06,319566.3768,,,,8.53E-06,0.006012831,1283.529787,
1453.16,1180,3.87E-06,306582.1955,,,,8.56E-06,0.005935444,1285.910213,
1473.16,1200,3.87E-06,291532.8697,,,,8.59E-06,0.00585873,1288.268456,
1493.16,1220,3.87E-06,274958.1982,,,,8.61E-06,0.005782985,1290.606596,
1513.16,1240,3.87E-06,257351.5434,,,,8.64E-06,0.005708577,1292.926572,
1533.16,1260,3.86E-06,239159.8312,,,,8.66E-06,0.005635941,1295.230169,
1553.16,1280,3.86E-06,220783.551,,,,8.69E-06,0.005565579,1297.519028,
1573.16,1300,3.86E-06,202576.7559,,,,8.71E-06,0.005498063,1299.794641,
1593.16,1320,3.86E-06,184847.0624,,,,8.74E-06,0.005434032,1302.058352,
1613.16,1340,3.85E-06,167855.6504,,,,8.76E-06,0.005374195,1304.311358,
1633.16,1360,3.85E-06,151817.2637,,,,8.78E-06,0.005319327,1306.554706,
1653.16,1380,3.85E-06,136900.2092,,,,8.81E-06,0.005270274,1308.789297,
1673.16,1400,3.85E-06,123226.3578,,,,8.83E-06,0.005227948,1311.015885,
1693.16,1420,3.85E-06,110871.1434,,,,8.86E-06,0.00519333,1313.235073,
1713.16,1440,3.84E-06,99863.56393,,,,8.88E-06,0.005167471,1315.447319,
1733.16,1460,3.84E-06,90186.18054,,,,8.90E-06,0.005151489,1317.652931,
1753.16,1480,3.84E-06,81775.11801,,,,8.93E-06,0.005146568,1319.852072,
1773.16,1500,3.84E-06,74520.06468,,,,8.95E-06,0.005153965,1322.044754,
1793.16,1520,3.83E-06,68264.27238,,,,8.97E-06,0.005175002,1324.230844,
1813.16,1540,3.83E-06,62804.55648,,,,9.00E-06,0.005211071,1326.410058,
1833.16,1560,3.83E-06,57891.29591,,,,9.02E-06,0.00526363,1328.581966,
1853.16,1580,3.83E-06,53228.43309,,,,9.05E-06,0.005334209,1330.745991,
1873.16,1600,3.82E-06,,,,,9.07E-06,0.005424402,1332.901407,
1893.16,1620,3.82E-06,,,,,9.10E-06,0.005535876,1335.047339,
1913.16,1640,3.82E-06,,,,,9.13E-06,0.005670362,1337.182766,
1933.16,1660,3.82E-06,,,,,9.16E-06,0.005829662,1339.306519,
1953.16,1680,3.81E-06,,,,,9.19E-06,0.006015645,1341.41728,
1973.16,1700,3.81E-06,,,,,9.22E-06,0.00623025,1343.513584,
1993.16,1720,3.81E-06,,,,,9.26E-06,0.006475482,1345.593819,
2013.16,1740,,,,,,,0.006753417,1347.656222,
2033.16,1760,,,,,,,0.007066197,1349.698886,
2053.16,1780,,,,,,,0.007416032,1351.719753,
2073.16,1800,,,,,,,,1353.71662,
2093.16,1820,,,,,,,,1355.687133,
2113.16,1840,,,,,,,,1357.628793,
2133.16,1860,,,,,,,,1359.538951,
2153.16,1880,,,,,,,,1361.414811,
2173.16,1900,,,,,,,,1363.253431,
2193.16,1920,,,,,,,,1365.051717,
2213.16,1940,,,,,,,,1366.806431,
2233.16,1960,,,,,,,,1368.514185,
