Kelvin,Celcius,Density,Elastic Modulus,Poisson Ratio,Yield Strength,Ultimate Tensile Strength,CTE,Thermal Conductivity,Specific Heat,Electrical Resistivity
333.16,60,7.85E-06,211089.7808,0.290828674,234.3494433,441.336645,1.07E-05,0.064077705,513.5371224,
353.16,80,7.84E-06,210344.9643,0.291793411,227.3908003,441.2184522,1.10E-05,0.060564227,517.8976706,
373.16,100,7.84E-06,209515.092,0.292737859,221.2556038,441.1002595,1.12E-05,0.057195185,521.5907999,
393.16,120,7.83E-06,208600.1641,0.293662615,215.8451012,440.9820667,1.15E-05,0.053998933,525.0234688,
413.16,140,7.83E-06,207600.1805,0.294568278,211.0640283,440.863874,1.17E-05,0.051002831,528.5612088,
433.16,160,7.82E-06,206515.1412,0.295455447,206.82061,440.7456812,1.19E-05,0.04823324,532.5281247,
453.16,180,7.81E-06,205345.0463,0.29632472,203.0265596,440.6274884,1.21E-05,0.045715527,537.2068945,
473.16,200,7.81E-06,204089.8956,0.297176695,199.5970795,440.5092957,1.23E-05,0.043474061,542.8387692,
493.16,220,7.80E-06,202749.6893,0.298011971,196.4508604,440.3911029,1.25E-05,0.041532216,549.623573,
513.16,240,7.79E-06,201324.4273,0.298831145,193.5100819,440.2729102,1.27E-05,0.03991237,557.7197034,
533.16,260,7.79E-06,199814.1096,0.299634817,190.7004124,440.1036122,1.28E-05,0.038635902,567.244131,
553.16,280,7.78E-06,198218.7363,0.300423584,187.9510088,437.7271314,1.30E-05,0.0377232,578.2723994,
573.16,300,7.77E-06,196538.3072,0.301198046,185.1945168,432.7753582,1.31E-05,0.037191274,590.8386255,
593.16,320,7.77E-06,194772.8225,0.301958799,182.367071,425.4255333,1.33E-05,0.035753895,604.9354993,
613.16,340,7.76E-06,192922.2821,0.302706444,179.4082943,415.8548975,1.34E-05,0.033773781,620.5142841,
633.16,360,7.75E-06,190986.686,0.303441577,176.2612988,404.2406916,1.35E-05,0.031441329,637.4848162,
653.16,380,7.75E-06,188966.0343,0.304164798,172.8726849,390.7601563,1.36E-05,0.028946937,655.7155051,
673.16,400,7.74E-06,186860.3269,0.304876705,169.192542,375.5905324,1.37E-05,0.026481003,675.0333335,
693.16,420,7.73E-06,184669.5637,0.305577896,165.174448,358.9090607,1.38E-05,0.024233923,695.2238572,
713.16,440,7.72E-06,182393.7449,0.306268969,160.7754696,340.8929819,1.39E-05,0.022396096,716.0312052,
733.16,460,7.72E-06,180032.8705,0.306950523,155.9561622,321.7195368,1.40E-05,0.021583825,737.1580796,
753.16,480,7.71E-06,177586.9403,0.307623157,150.68057,301.5659662,1.40E-05,0.021394404,758.2657557,
773.16,500,7.70E-06,175055.9545,0.308287468,144.9162258,280.6095109,1.41E-05,0.021189499,778.974082,
793.16,520,7.70E-06,172439.9129,0.308944055,138.6341512,259.0274115,1.42E-05,0.020975972,798.8614801,
813.16,540,7.69E-06,169738.8157,0.309593516,131.8088563,236.9969089,1.42E-05,0.020759971,817.4649448,
833.16,560,7.68E-06,166952.6629,0.31023645,124.4183402,214.6952439,1.43E-05,0.020546931,834.2800441,
853.16,580,7.67E-06,164081.4543,0.310873455,116.4440906,192.2996572,1.44E-05,0.020341572,,
873.16,600,7.67E-06,161125.1901,0.311505129,107.8710838,169.9873896,1.44E-05,0.020147898,,
893.16,620,7.66E-06,158083.8702,0.312132071,98.68778498,147.9356818,1.45E-05,0.019969199,,
913.16,640,7.65E-06,154957.4946,0.31275488,88.8861479,126.3217746,1.45E-05,0.019808052,,
933.16,660,7.64E-06,151746.0633,0.313374152,78.46161511,105.3229088,1.46E-05,0.019666317,,
953.16,680,7.64E-06,148449.5763,0.313990488,67.41311784,85.11632519,1.46E-05,0.019545142,,
973.16,700,7.63E-06,145068.0337,0.314604484,55.74307605,65.87926448,1.47E-05,0.019444959,,
993.16,720,7.62E-06,141601.4354,0.315216741,,,1.47E-05,0.019365485,,
1013.16,740,7.61E-06,138049.7814,0.315827855,,,1.48E-05,0.019305724,,
1033.16,760,7.61E-06,134413.0717,0.316438425,,,1.48E-05,0.019263963,,
1053.16,780,7.60E-06,131087.0426,0.317060711,,,1.49E-05,0.019237777,,
1073.16,800,,129732.2806,0.317106511,,,,,,
1093.16,820,,128377.5186,0.317153639,,,,,,
1113.16,840,,127022.7566,0.317202097,,,,,,
1133.16,860,,125667.9946,0.317251884,,,,,,
1153.16,880,,124313.2326,0.317303,,,,,,
1173.16,900,,122958.4706,0.317355446,,,,,,
1193.16,920,,121603.7086,0.31740922,,,,,,
1213.16,940,,120248.9466,0.317464324,,,,,,
1233.16,960,,118894.1846,0.317520757,,,,,,
1253.16,980,,117539.4226,0.317578519,,,,,,
1273.16,1000,,116184.6606,0.31763761,,,,,,
1293.16,1020,,114829.8986,0.31769803,,,,,,
1313.16,1040,,113475.1366,0.31775978,,,,,,
1333.16,1060,,112120.3746,0.317822859,,,,,,
1353.16,1080,,110765.6126,0.317887266,,,,,,
1373.16,1100,,109410.8506,0.317953004,,,,,,
1393.16,1120,,108056.0886,0.31802007,,,,,,
1413.16,1140,,106701.3266,0.318088465,,,,,,
1433.16,1160,,105346.5646,0.31815819,,,,,,
1453.16,1180,,103991.8026,0.318229243,,,,,,
1473.16,1200,,102637.0406,0.318301626,,,,,,
1493.16,1220,,101282.2786,0.318375338,,,,,,
-6.84,-280,,,,,,,,,
13.16,-260,,221751.895,0.285013616,,,,,,
33.16,-240,,221599.9386,0.284980357,,,,,,
53.16,-220,,221271.205,0.284947098,,,,,,
73.16,-200,,220800.6818,0.284913839,,,,,222.8762047,
93.16,-180,7.90E-06,220218.9579,0.284880579,,,9.30E-06,,250.337487,
113.16,-160,7.89E-06,219552.2241,0.28484732,,,9.72E-06,,275.9918041,
133.16,-140,7.89E-06,218822.2723,0.285012363,,,1.01E-05,0.071928093,299.9240417,
153.16,-120,7.89E-06,218046.4959,0.285245008,,,1.04E-05,0.071085326,322.2190859,
173.16,-100,7.88E-06,217237.8898,0.285530124,,,1.07E-05,0.070219348,342.9618227,
193.16,-80,7.88E-06,216405.0505,0.285867711,,,1.09E-05,0.069331514,362.2371378,
213.16,-60,7.88E-06,215552.1757,0.28625777,,,1.12E-05,0.068423175,380.1299174,
233.16,-40,7.87E-06,214679.0648,0.286700301,,,1.13E-05,0.067495687,396.7250472,
253.16,-20,7.87E-06,213781.1184,0.287195303,,,1.15E-05,0.066550402,412.1074133,
273.16,0,7.86E-06,212813.8964,0.287806741,,,1.16E-05,0.065588675,426.3619015,
293.16,20,7.86E-06,212324.2469,0.288835937,,,1.17E-05,0.064611857,439.5733979,
313.16,40,7.85E-06,211749.5417,0.289843049,,,1.18E-05,0.063621303,451.8267883,
333.16,60,7.84E-06,211089.7808,0.290828674,,,1.19E-05,0.062618367,463.2069587,
353.16,80,7.84E-06,210344.9643,0.291793411,,,1.19E-05,0.061604402,473.798795,
373.16,100,7.83E-06,209515.092,0.292737859,,,1.20E-05,0.06058076,483.6871832,
393.16,120,7.83E-06,208600.1641,0.293662615,,,1.20E-05,0.059548797,492.9570092,
413.16,140,7.82E-06,207600.1805,0.294568278,,,1.21E-05,0.058509865,501.6931589,
433.16,160,7.81E-06,206515.1412,0.295455447,,,1.23E-05,0.057465318,509.9805183,
453.16,180,7.81E-06,205345.0463,0.29632472,,,1.24E-05,0.056416508,517.9039732,
473.16,200,7.80E-06,204089.8956,0.297176695,,,1.26E-05,0.055364791,525.5484097,
493.16,220,7.79E-06,202749.6893,0.298011971,,,1.28E-05,0.054311518,532.9987137,
513.16,240,7.79E-06,201324.4273,0.298831145,,,1.29E-05,0.053258045,540.3397711,
533.16,260,7.78E-06,199814.1096,0.299634817,,,1.31E-05,0.052205723,547.6564679,
553.16,280,7.77E-06,198218.7363,0.300423584,,,1.33E-05,0.051155907,555.0336899,
573.16,300,7.77E-06,196538.3072,0.301198046,,,1.34E-05,0.05010995,562.5563231,
593.16,320,7.76E-06,194772.8225,0.301958799,,,1.36E-05,0.049069206,570.3092535,
613.16,340,7.75E-06,192922.2821,0.302706444,,,1.37E-05,0.048035028,578.377367,
633.16,360,7.74E-06,190986.686,0.303441577,,,1.39E-05,0.047008769,586.8455495,
653.16,380,7.74E-06,188966.0343,0.304164798,,,1.40E-05,0.045991783,595.798687,
673.16,400,7.73E-06,186860.3269,0.304876705,,,1.42E-05,0.044985424,605.3216654,
693.16,420,7.72E-06,184669.5637,0.305577896,,,1.43E-05,0.043991045,615.4993706,
713.16,440,7.71E-06,182393.7449,0.306268969,,,1.44E-05,0.043009999,626.4166885,
733.16,460,7.71E-06,180032.8705,0.306950523,,,1.45E-05,0.04204364,638.1585052,
753.16,480,7.70E-06,177586.9403,0.307623157,,,1.46E-05,0.041093321,650.8097065,
773.16,500,7.69E-06,175055.9545,0.308287468,,,1.47E-05,0.040160396,664.4551784,
793.16,520,7.68E-06,172439.9129,0.308944055,,,1.47E-05,0.039246219,679.1798069,
813.16,540,7.68E-06,169738.8157,0.309593516,,,1.48E-05,0.038352142,695.0684777,
833.16,560,7.67E-06,166952.6629,0.31023645,,,1.48E-05,0.03747952,712.206077,
853.16,580,7.66E-06,164081.4543,0.310873455,,,1.49E-05,0.036629705,730.6774905,
873.16,600,7.65E-06,161125.1901,0.311505129,,,1.49E-05,0.035804052,750.5676044,
893.16,620,7.65E-06,158083.8702,0.312132071,,,1.50E-05,0.035003913,771.9613044,
913.16,640,7.64E-06,154957.4946,0.31275488,,,1.50E-05,0.034230643,794.9434766,
933.16,660,7.63E-06,151746.0633,0.313374152,,,1.51E-05,0.033485594,819.5990068,
953.16,680,7.62E-06,148449.5763,0.313990488,,,1.51E-05,0.032770121,846.012781,
973.16,700,,145068.0337,0.314604484,,,,0.032085576,875.660592,
993.16,720,,141601.4354,0.315216741,,,,0.031433313,1026.284592,
1013.16,740,,138049.7814,0.315827855,,,,0.030814686,,
1033.16,760,,134413.0717,0.316438425,,,,0.030231048,,
1053.16,780,,131087.0426,0.317060711,,,,0.029683752,,
1073.16,800,,129732.2806,0.317106511,,,,0.029174153,,
1093.16,820,,128377.5186,0.317153639,,,,0.028703603,,
1113.16,840,,127022.7566,0.317202097,,,,0.028273456,,
1133.16,860,,125667.9946,0.317251884,,,,0.027885066,,
1153.16,880,,124313.2326,0.317303,,,,0.027539785,,
1173.16,900,,122958.4706,0.317355446,,,,0.027238968,,
1193.16,920,,121603.7086,0.31740922,,,,0.026983968,,
1213.16,940,,120248.9466,0.317464324,,,,,,
1233.16,960,,118894.1846,0.317520757,,,,,,
1253.16,980,,117539.4226,0.317578519,,,,,,
1273.16,1000,,116184.6606,0.31763761,,,,,,
1293.16,1020,,114829.8986,0.31769803,,,,,,
1313.16,1040,,113475.1366,0.31775978,,,,,,
1333.16,1060,,112120.3746,0.317822859,,,,,,
1353.16,1080,,110765.6126,0.317887266,,,,,,
1373.16,1100,,109410.8506,0.317953004,,,,,,
1393.16,1120,,108056.0886,0.31802007,,,,,,
1413.16,1140,,106701.3266,0.318088465,,,,,,
1433.16,1160,,105346.5646,0.31815819,,,,,,
1453.16,1180,,103991.8026,0.318229243,,,,,,
1473.16,1200,,102637.0406,0.318301626,,,,,,
1493.16,1220,,101282.2786,0.318375338,,,,,,
-6.84,-280,,,,,,,,,
13.16,-260,,,,,,,,,
33.16,-240,7.85E-06,,,,,7.42E-06,,,
53.16,-220,7.84E-06,,,,,7.82E-06,,,
73.16,-200,7.84E-06,,,,,8.20E-06,,,
93.16,-180,7.84E-06,,,,,8.59E-06,,,
113.16,-160,7.84E-06,,,,,9.01E-06,,,
133.16,-140,7.84E-06,,,,,9.48E-06,,,
153.16,-120,7.83E-06,,,,,9.98E-06,,,
